Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
2332,Techstars,"Boulder, Colorado, United States",Active,For Profit,3.569,491.0,795.0,363.0,1.0,11.0,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",6.0,,2021-05-17,4999999.0,USD,4999999.0,Venture - Series Unknown,Venture - Series Unknown,4999999.0,USD,4999999.0,108799999.0,USD,108799999.0,318.0,606.778,"240,410.17",275.0,26964318.0,USD,26964318.0,"RRE Ventures, Foundry Group, Mercury, Silicon Valley Bank, IA Ventures"
2333,Impellent Ventures,"Rochester, New York, United States",Active,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.529,,0.0,,,,
2334,GGV Capital,"Menlo Park, California, United States",Active,For Profit,820.0,299.0,75.0,123.0,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,9.0,33.807,"28,479.17",444.0,,,,
2335,Ribbit Capital,"Palo Alto, California, United States",Active,,190.0,68.0,18.0,14.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,5.637,"11,032.83",85.0,84755.0,USD,84755.0,
2336,VP Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,Atlassian,"Sydney, New South Wales, Australia",Active,For Profit,9.0,2.0,1.0,1.0,2.0,4.0,"Other, Software","Collaboration, Enterprise Software, SaaS, Software",2.0,IPO,2014-04-08,150000000.0,USD,150000000.0,Secondary Market,,,,,210000000.0,USD,210000000.0,79.0,"43,713,375","36,306,223.67",350.0,,,,"T. Rowe Price, Accel, Dragoneer Investment Group, ESO Fund"
2338,Ceras Ventures,"Dubai, Dubai, United Arab Emirates",Active,For Profit,10.0,0.0,,0.0,,,"Financial Services, Lending and Investments, Other, Payments, Software","Blockchain, Cryptocurrency, Venture Capital",1.0,Seed,2020-12-01,30000000.0,USD,30000000.0,Pre-Seed,Pre-Seed,30000000.0,USD,30000000.0,30000000.0,USD,30000000.0,,,,,,,,
2339,Ideaship,"Portland, Oregon, United States",Active,,49.0,9.0,13.0,2.0,,,"Financial Services, Lending and Investments, Professional Services","Intellectual Property, Venture Capital",,,,,,,,,,,,,,,,549,,14.0,,,,
2340,ING Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,HTC,"TaoyÃ¼an, T'ai-wan, Taiwan",Active,For Profit,32.0,11.0,3.0,6.0,,,"Consumer Electronics, Hardware, Mobile, Software","Consumer Electronics, Hardware, Mobile, Software",,IPO,,,,,,,,,,,,,9.0,"1,399,556","2,607,681.5",385.0,,,,
2342,SpinLaunch,"Long Beach, California, United States",Active,For Profit,,,,,4.0,14.0,"Manufacturing, Science and Engineering, Transportation","Aerospace, Manufacturing, Space Travel",5.0,Seed,2022-02-11,,,,Pre-Seed,Pre-Seed,,,,75000000.0,USD,75000000.0,,27.313,"31,686.83",341.0,665728.0,USD,665728.0,"GV, Alphabet, Bolt, Kleiner Perkins, Neotribe Ventures"
2343,Universal Materials Incubator,,Active,For Profit,18.0,5.0,3.0,1.0,1.0,1.0,"Financial Services, Lending and Investments, Manufacturing, Science and Engineering","Chemical, Incubators, Industrial Manufacturing, Venture Capital",1.0,,2016-01-04,20000000.0,JPY,167342.0,Venture - Series Unknown,Venture - Series Unknown,20000000.0,JPY,167342.0,20000000.0,JPY,167343.0,,,,,,,,Innovation Network Corporation of Japan
2344,I2BF Global Ventures,"New York, New York, United States",Active,,98.0,10.0,15.0,12.0,,,"Financial Services, Professional Services","Business Development, Consulting, Finance, Financial Services, FinTech",,,,,,,,,,,,,,,,2.512,"2,582.67",23.0,,,,
2345,Atomico,"London, England, United Kingdom",Active,For Profit,199.0,77.0,7.0,38.0,,,"Financial Services, Lending and Investments","Angel Investment, Financial Services, FinTech, Impact Investing, Venture Capital",,,,,,,,,,,,,,,3.0,11.046,"7,065.17",627.0,5081323.0,USD,5081323.0,
2346,Goldcrest Capital,"Dallas, Texas, United States",Active,,36.0,11.0,1.0,1.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,549,,0.0,,,,
2347,Speedinvest,"Vienna, Wien, Austria",Active,For Profit,330.0,131.0,9.0,21.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,6.0,17.396,"24,214.67",259.0,32141910.0,USD,32141910.0,
2348,FIIG Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,Master Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,Bullpen Capital,"Menlo Park, California, United States",Active,,163.0,59.0,31.0,28.0,,1.0,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1.0,,2018-06-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,2.0,724,,936.0,,,,Mason Ng
2351,Shasta Ventures,"Menlo Park, California, United States",Active,,401.0,125.0,66.0,81.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,3.224,"2,887.33",2.0,,,,
2352,Think Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,Primavera Capital Group,"Beijing, Beijing, China",Active,,46.0,27.0,1.0,9.0,,,Financial Services,Financial Services,,IPO,,,,,,,,,,,,,,6.584,"3,533.67",300.0,,,,
2354,DraftKings,"Boston, Massachusetts, United States",Active,For Profit,4.0,1.0,,1.0,9.0,29.0,"Gaming, Sports","Fantasy Sports, Gaming, Online Games, Sports",12.0,IPO,2020-09-02,,,,Post-IPO Equity,Post-IPO Equity,,,,719438000.0,USD,719438000.0,3.0,"16,846,594","25,369,150",1.372,,,,"Redpoint, FirstMark, Flybridge, Major League Soccer, GGV Capital"
2355,WeWork,"New York, New York, United States",Active,For Profit,9.0,6.0,4.0,2.0,11.0,24.0,Real Estate,"Commercial Real Estate, Coworking, Property Development, Real Estate",21.0,IPO,2021-10-29,150000000.0,USD,150000000.0,Post-IPO Equity,Post-IPO Equity,150000000.0,USD,150000000.0,21595784331.0,USD,21595784331.0,120.0,"2,646,155","2,483,475.83",280.0,343977.0,USD,343977.0,"SoftBank, JP Morgan Chase, Goldman Sachs, Insight Partners, Cushman & Wakefield"
2356,MediaTek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,Pitango Venture Capital,"Herzliya, Tel Aviv, Israel",Active,For Profit,318.0,98.0,12.0,63.0,1.0,1.0,"Financial Services, Health Care, Lending and Investments","Financial Services, Health Care, Venture Capital",1.0,,2015-12-10,,,,Secondary Market,,,,,,,,2.0,4.662,4.081,828.0,,,,Ion Pacific
2358,iGlobe Partners,"Singapore, Central Region, Singapore",Active,,43.0,11.0,3.0,11.0,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,2.156,,466.0,,,,
2359,WonderFi,"Vancouver, British Columbia, Canada",Active,For Profit,1.0,1.0,,1.0,5.0,10.0,"Financial Services, Information Technology, Other, Payments, Software","Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software",5.0,IPO,2021-10-26,26400000.0,CAD,21304531.0,Post-IPO Debt,Series A,5600000.0,USD,5600000.0,49086002.0,USD,49086002.0,,39.865,"23,995.33",426.0,,,,"Argo Blockchain, Alameda Research, Animal Capital, Canaccord Genuity Group, Josh Richards"
2360,Engineering Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,Mark Lefanowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,Raison Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,Queno,"Karachi, Sindh, Pakistan",Active,For Profit,3.0,3.0,,,,,"Education, Software","E-Learning, EdTech, Education, Software",1.0,Seed,2022-01-02,,,,Seed,Seed,,,,,,,,,,,,,,
2364,Games24x7,"Mumbai, Maharashtra, India",Active,For Profit,1.0,1.0,,,1.0,4.0,"Gaming, Sports","Fantasy Sports, Gaming, Online Games, PC Games",2.0,,2022-03-30,75000000.0,USD,75000000.0,Venture - Series Unknown,Venture - Series Unknown,75000000.0,USD,75000000.0,75000000.0,USD,75000000.0,,47.561,"45,598.5",2.436,,,,"Tiger Global Management, The Raine Group, Malabar Investment Advisors, Das & Co."
2365,DHVC,"Palo Alto, California, United States",Active,,188.0,26.0,19.0,25.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,4.0,1.618,2.257,0.0,,,,
2366,Lighthouse Labs RVA,"Richmond, Virginia, United States",Active,,54.0,9.0,15.0,2.0,2.0,2.0,"Education, Financial Services, Information Technology, Lending and Investments, Software","EdTech, Information Technology, Software, Venture Capital",2.0,,2021-12-20,429000.0,USD,429000.0,Grant,,,,,1429000.0,USD,1429000.0,,2.511,"1,953.83",0.0,,,,"Activation Capital, GO Virginia"
2367,Sona,"London, England, United Kingdom",Active,For Profit,,,,,2.0,13.0,"Administrative Services, Apps, Commerce and Shopping, Hardware, Health Care, Professional Services, Software, Transportation, Travel and Tourism","Apps, Elder Care, Employment, Enterprise Software, Hospitality, Human Resources, Logistics, Nursing and Residential Care, Retail Technology",2.0,Seed,2022-03-31,6800000.0,USD,6800000.0,Seed,Seed,6800000.0,USD,6800000.0,9000000.0,USD,9000000.0,,4.197,,977.0,,,,"Gradient Ventures, Speedinvest, Maximilian Bittner, Novator, Tom Blomfield"
2368,Industry Ventures,"San Francisco, California, United States",Active,,155.0,21.0,25.0,33.0,,,"Financial Services, Lending and Investments","Finance, Incubators, Venture Capital",,,,,,,,,,,,,,,,4.634,"2,793.33",18.0,521227.0,USD,521227.0,
2369,Sequoia Capital,"Menlo Park, California, United States",Active,,1.676,624.0,190.0,347.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,55.0,227.378,"215,037.83",315.0,3727262.0,USD,3727262.0,
2370,J.P. Morgan Securities Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,Legend Capital,"Beijing, Beijing, China",Active,For Profit,370.0,159.0,1.0,35.0,,,"Financial Services, Software","Enterprise Software, Financial Services",,,,,,,,,,,,,,,,2.521,,4.0,,,,
2372,MassMutual Ventures,"Boston, Massachusetts, United States",Active,,74.0,18.0,8.0,10.0,,,"Financial Services, Health Care, Information Technology, Lending and Investments, Privacy and Security, Software","Cyber Security, Enterprise Software, Finance, Financial Services, FinTech, Health Care, Venture Capital",,,,,,,,,,,,,,,,1.69,"4,396.17",20.0,,,,
2373,OneWeb,"London, England, United Kingdom",Active,For Profit,,,,,7.0,16.0,"Hardware, Internet Services, Science and Engineering","Aerospace, Internet, Satellite Communication, Telecommunications",8.0,M&A,2021-08-12,300000000.0,USD,300000000.0,Corporate Round,Corporate Round,300000000.0,USD,300000000.0,4700000000.0,USD,4700000000.0,1.0,,,,28752092.0,USD,28752092.0,"SoftBank, Qualcomm, Qualcomm Ventures, Airbus, SoftBank Capital"
2374,Koch Disruptive Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,People's Bank of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,Vertex Ventures Southeast Asia & India,"Singapore, Central Region, Singapore",Active,For Profit,75.0,15.0,2.0,12.0,,,Financial Services,"Finance, Financial Services, FinTech",,,,,,,,,,,,,,,,,,,,,,
2377,Productboard,"San Francisco, California, United States",Active,For Profit,,,,,6.0,14.0,"Data and Analytics, Design, Other","Consumer Research, Product Management, Product Research",7.0,Late Stage Venture,2022-02-02,125000000.0,USD,125000000.0,Series D,Series D,125000000.0,USD,125000000.0,261700000.0,USD,261700000.0,5.0,548.883,"527,340.17",675.0,,,,"Sequoia Capital, Tiger Global Management, Craft Ventures, Index Ventures, Bessemer Venture Partners"
2378,Squarespace,"New York, New York, United States",Active,For Profit,,,,,3.0,9.0,"Commerce and Shopping, Content and Publishing, Design, Internet Services, Media and Entertainment, Software","Developer Tools, E-Commerce Platforms, Publishing, Software, Web Design",4.0,IPO,2021-03-16,300000000.0,USD,300000000.0,Venture - Series Unknown,Venture - Series Unknown,300000000.0,USD,300000000.0,578500000.0,USD,578500000.0,15.0,"27,690,122","23,097,790.33",693.0,89483232.0,USD,89483232.0,"Tiger Global Management, T. Rowe Price, Accel, Fidelity Management and Research Company, Index Ventures"
2379,Norte Ventures,"SÃ£o Paulo, Sao Paulo, Brazil",Active,,38.0,,,,,1.0,"Financial Services, Lending and Investments",Venture Capital,1.0,Seed,2018-09-03,,,,Seed,Seed,,,,,,,,,,,,,,Rafael Duton
2380,Info Edge,"Noida, Uttar Pradesh, India",Active,For Profit,70.0,42.0,,6.0,2.0,2.0,"Education, Internet Services, Real Estate","Education, Internet, Real Estate",2.0,IPO,2020-12-11,51000000.0,USD,51000000.0,Post-IPO Equity,Post-IPO Equity,51000000.0,USD,51000000.0,51000000.0,USD,51000000.0,,29.027,"50,751.17",100.0,,,,"Temasek Holdings, Lightbox"
2381,Moglix,"Singapore, Central Region, Singapore",Active,For Profit,1.0,1.0,,,10.0,19.0,"Commerce and Shopping, Manufacturing, Mobile, Other","B2B, E-Commerce, Industrial, Marketplace, Mobile",8.0,Late Stage Venture,2022-01-27,250000000.0,USD,250000000.0,Series F,Series F,250000000.0,USD,250000000.0,472208452.0,USD,472208452.0,,"1,420,840","1,830,086.33",401.0,,,,"Tiger Global Management, Accel, Jungle Ventures, Bessemer Venture Partners, Sequoia Capital India"
2382,Frazier Healthcare Partners,"Seattle, Washington, United States",Active,,223.0,53.0,15.0,101.0,,,"Financial Services, Health Care, Lending and Investments","Health Care, Venture Capital",,,,,,,,,,,,,,,,6.602,"5,129.83",206.0,28555214.0,USD,28555214.0,
2383,National Institutes of Health,"Bethesda, Maryland, United States",Active,,571.0,351.0,107.0,63.0,,,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device",1.0,,2017-08-15,5000000.0,USD,5000000.0,Grant,,,,,5000000.0,USD,5000000.0,,"303,598,218","281,764,664.33",707.0,28755.0,USD,28755.0,
2384,GOQii,"Menlo Park, California, United States",Active,For Profit,,,,,12.0,31.0,"Community and Lifestyle, Consumer Electronics, Hardware, Sports","Consumer Electronics, Fitness, Lifestyle",15.0,Late Stage Venture,2022-03-29,10000000.0,USD,10000000.0,Series C,Series C,10000000.0,USD,10000000.0,112618192.0,USD,112618192.0,3.0,399.662,"291,222.83",1.109,,,,"Animoca Brands, Galaxy Digital, BlackSoil, Venture Catalysts, 9Unicorns Accelerator Fund"
2385,Dojo,"London, England, United Kingdom",Active,For Profit,,,,,,2.0,"Financial Services, Other, Payments, Software","Financial Services, Payments, Small and Medium Businesses, Transaction Processing",2.0,,2018-04-20,218000000.0,GBP,305309300.0,Debt Financing,,,,,328000000.0,GBP,441844170.0,,22.636,"35,900.33",123.0,,,,"EQT, CVC Credit Partners"
2386,Fenner & Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,Astanor Ventures,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Active,,39.0,20.0,6.0,1.0,,,"Agriculture and Farming, Financial Services, Food and Beverage, Information Technology, Lending and Investments","Agriculture, AgTech, Farming, Food and Beverage, Information Technology, Venture Capital",,,,,,,,,,,,,,,1.0,2.65,"8,292.83",52.0,,,,
2388,Dragonfly Capital Partners,"San Francisco, California, United States",Active,,84.0,29.0,5.0,3.0,,,"Financial Services, Professional Services","Business Development, Finance, Financial Services",,,,,,,,,,,,,,,,7.857,,979.0,,,,
2389,Octopus Ventures,"London, England, United Kingdom",Active,,315.0,174.0,1.0,43.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,5.0,174.988,52.334,17.0,,,,
2390,Jean Abrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,FinRise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,Toothsi,"Mumbai, Maharashtra, India",Active,For Profit,,,,,5.0,12.0,Health Care,"Dental, Health Care, Wellness",4.0,,2022-03-26,1000000000.0,INR,13110000.0,Venture - Series Unknown,Venture - Series Unknown,1000000000.0,INR,13110000.0,46993947.0,USD,46993947.0,1.0,144.745,"49,197.83",2.217,,,,"IIFL Wealth Management, Eight Roads Ventures, Ramakant Sharma, Think Investments, Stride Ventures"
2393,IDB Invest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,Grover,"Berlin, Berlin, Germany",Active,For Profit,,,,,8.0,25.0,"Commerce and Shopping, Consumer Electronics, Hardware, Other","Consumer Electronics, E-Commerce, Rental, Subscription Service",16.0,Late Stage Venture,2022-04-07,220000000.0,USD,220000000.0,Debt Financing,Series C,110000000.0,USD,110000000.0,1999121428.0,USD,1999121428.0,5.0,"3,379,933","2,860,181.33",561.0,11040091.0,USD,11040091.0,"Seedcamp, Global Founders Capital, Augmentum Fintech, LG Group, Energy Impact Partners"
2395,Alpha Edison,"Los Angeles, California, United States",Active,,93.0,33.0,27.0,3.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,6.645,"3,469.33",64.0,,,,
2396,Global Brain Corporation,"Tokyo, Tokyo, Japan",Active,,421.0,112.0,11.0,74.0,,,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",,,,,,,,,,,,,,,3.0,3.198,"10,464.67",0.0,,,,
2397,Binance.US,"San Francisco, California, United States",Active,For Profit,,,,,,9.0,"Financial Services, Internet Services, Lending and Investments, Payments, Software","Cryptocurrency, Financial Services, Internet, Trading Platform",1.0,Seed,2022-04-06,200000000.0,USD,200000000.0,Seed,Seed,200000000.0,USD,200000000.0,200000000.0,USD,200000000.0,1.0,"7,301,260","11,906,663.67",1.203,,,,"Gaingels, RRE Ventures, Flucas Ventures, Bossa Nova Investimentos, Foundation Capital"
2398,Fiserv,"Brookfield, Wisconsin, United States",Active,For Profit,6.0,1.0,2.0,1.0,,,"Financial Services, Information Technology","Financial Services, FinTech, Information Services, Information Technology",,IPO,,,,,,,,,,,,,14.0,,,,,,,
2399,Roblox,"San Mateo, California, United States",Active,For Profit,,,,,9.0,14.0,"Gaming, Hardware, Software","3D Technology, Gaming, Online Games, Software, Video Games",10.0,IPO,2021-01-06,520000000.0,USD,520000000.0,Series H,Series H,520000000.0,USD,520000000.0,856742214.0,USD,856742214.0,3.0,,,,,,,"Tencent, Andreessen Horowitz, Warner Music Group, Greylock, Tiger Global Management"
2400,Hellman & Friedman,"San Francisco, California, United States",Active,,13.0,4.0,1.0,10.0,,,Financial Services,"Finance, Financial Services, FinTech",,,,,,,,,,,,,,,5.0,17.012,"12,897.17",211.0,3323756.0,USD,3323756.0,
2401,AlphaCoin Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,Matt Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,Stephan Schambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,Tinybird,"New York, New York, United States",Active,For Profit,,,,,3.0,12.0,"Data and Analytics, Software","Analytics, Big Data, Business Intelligence, Developer APIs, Software",2.0,Early Stage Venture,2022-04-05,37000000.0,USD,37000000.0,Series A,Series A,37000000.0,USD,37000000.0,40000000.0,USD,40000000.0,,193.256,"269,899.5",2.108,,,,"Guillermo Rauch, Crane Venture Partners, CRV, Singular, Jason Warner"
2405,NB Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,Lerer Hippeau,"New York, New York, United States",Active,,591.0,81.0,141.0,141.0,,,"Financial Services, Lending and Investments, Other, Software","Consumer, Enterprise Software, Venture Capital",,,,,,,,,,,,,,,4.0,7.02,"6,249.33",100.0,,,,
2407,GMT Capital,"Atlanta, Georgia, United States",Active,,2.0,,,1.0,,,Financial Services,"Asset Management, Finance, Financial Services",,,,,,,,,,,,,,,,,,,,,,
2408,NEO Global Capital (NGC),"Singapore, Central Region, Singapore",Active,,92.0,26.0,2.0,2.0,,,"Financial Services, Other","Blockchain, Financial Services",,,,,,,,,,,,,,,,,,,,,,
2409,Energize Ventures,"Chicago, Illinois, United States",Active,,32.0,22.0,1.0,3.0,,,"Energy, Financial Services, Lending and Investments, Sustainability","Energy, Finance, Financial Services, Renewable Energy, Venture Capital",,,,,,,,,,,,,,,,7.726,"7,201.5",9.0,,,,
2410,Lightrock,"London, England, United Kingdom",Active,,72.0,43.0,,3.0,,,"Education, Financial Services, Information Technology","Education, Financial Services, Information Technology",,,,,,,,,,,,,,,,2.789,,28.0,,,,
2411,BoxGroup,"New York, New York, United States",Active,,546.0,15.0,131.0,103.0,,,"Financial Services, Lending and Investments","Finance, FinTech, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,3.142,"3,825.83",1.0,,,,
2412,SquareOne Capital Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,Keiretsu Forum Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,Trousdale Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,Level Equity Management,"New York, New York, United States",Active,,75.0,58.0,11.0,23.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.745,"5,251.5",309.0,159722.0,USD,159722.0,
2416,Capital Midwest Fund,"Milwaukee, Wisconsin, United States",Active,,29.0,14.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,SmartBear,"Somerville, Massachusetts, United States",Active,For Profit,,,,,2.0,3.0,"Information Technology, Internet Services, Mobile, Platforms, Software","Cloud Computing, Developer APIs, Information Technology, iOS, Software",3.0,M&A,2020-10-21,2868750.0,USD,2868750.0,Private Equity,Private Equity,2868750.0,USD,2868750.0,24968750.0,USD,24968750.0,29.0,977.679,"886,607.33",421.0,4048347.0,USD,4048347.0,"Francisco Partners, Insight Partners, Vista Equity Partners"
2418,Moveworks,"Mountain View, California, United States",Active,For Profit,,,,,5.0,10.0,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence, Cloud Computing, Information Technology, Technical Support",3.0,Late Stage Venture,2021-06-30,200000000.0,USD,200000000.0,Series C,Series C,200000000.0,USD,200000000.0,305000000.0,USD,305000000.0,4.0,87.717,"57,409.83",599.0,2039549.0,USD,2039549.0,"Tiger Global Management, Bain Capital, Lightspeed Venture Partners, Kleiner Perkins, Bain Capital Ventures"
2419,Kotak Mahindra Bank,"Mumbai, Maharashtra, India",Active,For Profit,14.0,8.0,,4.0,,,"Financial Services, Lending and Investments","Banking, Finance, Financial Services",,IPO,,,,,,,,,,,,,,"13,075,761","11,422,849",476.0,,,,
2420,Kraken,"San Francisco, California, United States",Active,For Profit,10.0,1.0,1.0,1.0,4.0,32.0,"Financial Services, Lending and Investments, Other, Payments, Software","Bitcoin, Blockchain, Ethereum, FinTech, Trading Platform",32.0,Private Equity,2021-12-01,,,,Secondary Market,Private Equity,,,,136100000.0,USD,136100000.0,2.0,"11,593,144","15,280,300.67",703.0,163179.0,USD,163179.0,"Digital Currency Group, Blockchain Capital, Tribe Capital, Hummingbird Ventures, BnkToTheFuture"
2421,Morgan Stanley Expansion Capital,"New York, New York, United States",Active,,78.0,29.0,6.0,34.0,,,"Financial Services, Health Care, Lending and Investments","Financial Services, Health Care, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
2422,Bigpoint,"Hamburg, Hamburg, Germany",Active,For Profit,4.0,,,2.0,,5.0,Gaming,"Casual Games, Gaming, MMO Games",3.0,M&A,2011-04-26,350000000.0,USD,350000000.0,Private Equity,Private Equity,350000000.0,USD,350000000.0,459870792.0,USD,459870792.0,,133.352,"224,493.17",1.75,5223573.0,USD,5223573.0,"TA Associates, Summit Partners, GMT Capital, Peacock Equity, GMT Communications Partners"
2423,S2G Ventures,"Chicago, Illinois, United States",Active,For Profit,116.0,41.0,30.0,5.0,,,"Agriculture and Farming, Financial Services, Food and Beverage, Lending and Investments","Agriculture, Financial Services, Food and Beverage, Venture Capital",,,,,,,,,,,,,,,,4.997,"9,236.83",118.0,,,,
2424,Samsung Ventures,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,,253.0,80.0,16.0,66.0,,,"Financial Services, Information Technology, Lending and Investments","Finance, Information Technology, Venture Capital",,,,,,,,,,,,,,,,2.505,,0.0,,,,
2425,Baidu,"Beijing, Beijing, China",Active,For Profit,113.0,62.0,3.0,27.0,5.0,10.0,Internet Services,"Internet, Search Engine, Social Network",3.0,IPO,2004-06-18,15000000.0,USD,15000000.0,Series C,Series C,15000000.0,USD,15000000.0,26200000.0,USD,26200000.0,37.0,"165,824,170","135,372,669.33",976.0,,,,"Google, IDG Capital, Threshold, ePlanet Capital, Peninsula Capital"
2426,HubSpot Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,InMotion Ventures,"London, England, United Kingdom",Active,,34.0,6.0,4.0,4.0,,,Financial Services,"Finance, Financial Services",,,,,,,,,,,,,,,2.0,3.757,,240.0,14367712.0,USD,14367712.0,
2428,Reece Chowdhry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,Compt,"Cambridge, Massachusetts, United States",Active,For Profit,,,,,2.0,4.0,"Administrative Services, Professional Services, Software","Employment, Human Resources, Software",3.0,Early Stage Venture,2022-04-14,13000000.0,USD,13000000.0,Series A,Series A,13000000.0,USD,13000000.0,15500002.0,USD,15500002.0,,29.27,"34,477.67",875.0,,,,"Battery Ventures, Slack Fund, Harlem Capital Partners, Impellent Ventures"
2430,Biomedical Advanced Research and Development Authority (BARDA),"Washington, District of Columbia, United States",Active,Non-profit,37.0,32.0,1.0,19.0,,,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care",,,,,,,,,,,,,,,,8.023,"6,395.83",78.0,,,,
2431,Reynolds & Company Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,Datto,"Norwalk, Connecticut, United States",Active,For Profit,,,,,2.0,2.0,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Flash Storage, Information Technology, Software",2.0,M&A,2015-11-17,75000000.0,USD,75000000.0,Series B,Series B,75000000.0,USD,75000000.0,100000000.0,USD,100000000.0,30.0,"1,708,263","1,342,164",332.0,,,,"General Catalyst, TCV"
2433,Bradley Horowitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,Sunmeet Jolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,Genesys,"Daly City, California, United States",Active,For Profit,3.0,,,1.0,3.0,9.0,"Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence, Cloud Computing, Software",4.0,M&A,2021-12-06,580000000.0,USD,580000000.0,Private Equity,Private Equity,580000000.0,USD,580000000.0,1480000000.0,USD,1480000000.0,32.0,588.306,661.543,540.0,398435.0,USD,398435.0,"Zoom, BlackRock, ServiceNow, Hellman & Friedman, TCV"
